"","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
"288","100128675",0,-0.399843666772083,0,1,1,"HPN-AS1"
"289","100128682",0,-0.399843666772083,0,1,1,"LINC01531"
"290","100128714",0,-0.399843666772083,0,1,1,"LINC02346"
"291","100128731",-2.3721881333254,3.86391091236169,5.91747825642415,0.0149914002246099,0.267584354880014,"OST4"
"292","100128750",2.27530211812765,-0.212266437149907,0.2723485576746,0.601760673374995,1,"RBPMS-AS1"
"293","100128770",0,-0.399843666772083,0,1,1,"LOC100128770"
"294","100128782",7.5473979214681,2.78164682099818,7.35968147174208,0.00667026072540384,0.179666700184265,"ERCC6L2-AS1"
"295","100128787",0,-0.399843666772083,0,1,1,"LINC01349"
"296","100128788",0,-0.399843666772083,0,1,1,"SRRM2-AS1"
"297","100128811",0,-0.399843666772083,0,1,1,"GPR158-AS1"
"298","100128822",6.02805992226727,1.50704476849887,3.1461235470125,0.0761075681481006,0.555858039047872,"LINC01003"
